GO:0000005,ribosomal chaperone activity,molecular_function,"""OBSOLETE. Assists in the correct assembly of ribosomes or ribosomal subunits in vivo, but is not a component of the assembled ribosome when performing its normal biological function."" [GOC:jl, PMID:12150913]"
GO:0000006,high-affinity zinc uptake transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Zn2+(out) = Zn2+(in), probably powered by proton motive force. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations."" [TC:2.A.5.1.1]"
GO:0000007,low-affinity zinc ion transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Zn2+ = Zn2+, probably powered by proton motive force. In low-affinity transport the transporter is able to bind the solute only if it is present at very high concentrations."" [GOC:mtg_transport, ISBN:0815340729]"
GO:0000008,thioredoxin,molecular_function,"""OBSOLETE. A small disulfide-containing redox protein that serves as a general protein disulfide oxidoreductase. Interacts with a broad range of proteins by a redox mechanism, based on the reversible oxidation of 2 cysteine thiol groups to a disulfide, accompanied by the transfer of 2 electrons and 2 protons. The net result is the covalent interconversion of a disulfide and a dithiol."" [GOC:kd]"
GO:0000009,"alpha-1,6-mannosyltransferase activity",molecular_function,"""Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage."" [GOC:mcc, PMID:2644248]"
GO:0000010,trans-hexaprenyltranstransferase activity,molecular_function,"""Catalysis of the reaction: all-trans-hexaprenyl diphosphate + isopentenyl diphosphate = all-trans-heptaprenyl diphosphate + diphosphate."" [KEGG:R05612, RHEA:20839]"
GO:0000014,single-stranded DNA endodeoxyribonuclease activity,molecular_function,"""Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks."" [GOC:mah]"
GO:0000016,lactase activity,molecular_function,"""Catalysis of the reaction: lactose + H2O = D-glucose + D-galactose."" [EC:3.2.1.108]"
GO:0000026,"alpha-1,2-mannosyltransferase activity",molecular_function,"""Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->2) linkage."" [GOC:mcc, PMID:10521541]"
GO:0000030,mannosyltransferase activity,molecular_function,"""Catalysis of the transfer of a mannosyl group to an acceptor molecule, typically another carbohydrate or a lipid."" [GOC:ai, GOC:cjm]"
GO:0000031,mannosylphosphate transferase activity,molecular_function,"""Catalysis of the transfer of a mannosylphosphate group from one compound to another."" [GOC:jl]"
GO:0000033,"alpha-1,3-mannosyltransferase activity",molecular_function,"""Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->3) linkage."" [GOC:mcc, PMID:10521541]"
GO:0000034,adenine deaminase activity,molecular_function,"""Catalysis of the reaction: adenine + H2O = hypoxanthine + NH3."" [EC:3.5.4.2]"
GO:0000035,acyl binding,molecular_function,"""Interacting selectively and non-covalently with an acyl group, any group formally derived by removal of the hydroxyl group from the acid function of a carboxylic acid."" [GOC:curators, ISBN:0198506732]"
GO:0000036,ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process,molecular_function,"""Interacting selectively and non-covalently with the attachment site of the phosphopantetheine prosthetic group of an acyl carrier protein (ACP) as part of the process of fatty acid biosynthesis."" [CHEBI:22221, GOC:jl, GOC:vw]"
GO:0000039,plasma membrane long-chain fatty acid transporter,molecular_function,"""OBSOLETE (was not defined before being made obsolete)."" [GOC:ai]"
GO:0000047,Rieske iron-sulfur protein,molecular_function,"""OBSOLETE (was not defined before being made obsolete)."" [GOC:ai]"
GO:0000048,peptidyltransferase activity,molecular_function,"""Catalysis of the reaction: peptidyl-tRNA(1) + aminoacyl-tRNA(2) = tRNA(1) + peptidylaminoacyl-tRNA(2)."" [EC:2.3.2.12, PMID:11433365, PMID:9242921]"
GO:0000049,tRNA binding,molecular_function,"""Interacting selectively and non-covalently with transfer RNA."" [GOC:ai]"
GO:0000062,fatty-acyl-CoA binding,molecular_function,"""Interacting selectively and non-covalently with acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with a fatty acyl group."" [GOC:jl, ISBN:0198506732]"
GO:0000064,L-ornithine transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of L-ornithine from one side of a membrane to the other. L-ornithine is 2,5-diaminopentanoic acid."" [GOC:ai, GOC:mtg_transport, ISBN:0815340729]"
GO:0000095,S-adenosyl-L-methionine transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of S-adenosylmethionine from one side of a membrane to the other. S-adenosylmethionine is S-(5'-adenosyl)-L-methionine, an important intermediate in one-carbon metabolism."" [GOC:ai]"
GO:0000099,sulfur amino acid transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of sulfur amino acids from one side of a membrane to the other. Sulphur amino acids contain sulfur in the form of cystine, methionine or their derivatives."" [GOC:ai, GOC:mtg_transport, ISBN:0815340729]"
GO:0000100,S-methylmethionine transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of S-methylmethionine from one side of a membrane to the other."" [GOC:ai]"
GO:0000102,L-methionine secondary active transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of L-methionine from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport."" [GOC:mtg_transport]"
GO:0000104,succinate dehydrogenase activity,molecular_function,"""Catalysis of the reaction: succinate + acceptor = fumarate + reduced acceptor."" [EC:1.3.99.1, GOC:kd]"
GO:0000107,imidazoleglycerol-phosphate synthase activity,molecular_function,"""Catalysis of the reaction: phosphoribulosylformimino-AICAR-P + L-glutamine = D-erythro-imidazole-glycerol-phosphate + aminoimidazole carboxamide ribonucleotide + L-glutamate + 2 H(+)."" [MetaCyc:GLUTAMIDOTRANS-RXN]"
GO:0000121,glycerol-1-phosphatase activity,molecular_function,"""Catalysis of the reaction: glycerol-1-phosphate + H2O = glycerol + phosphate."" [EC:3.1.3.21]"
GO:0000140,acylglycerone-phosphate reductase activity,molecular_function,"""Catalysis of the reaction: 1-palmitoylglycerol-3-phosphate + NADP+ = palmitoylglycerone phosphate + NADPH + H(+)."" [EC:1.1.1.101]"
GO:0000146,microfilament motor activity,molecular_function,"""Catalysis of movement along a microfilament, coupled to the hydrolysis of a nucleoside triphosphate (usually ATP)."" [GOC:mah, ISBN:0815316194]"
GO:0000149,SNARE binding,molecular_function,"""Interacting selectively and non-covalently with a SNARE (soluble N-ethylmaleimide-sensitive factor attached protein receptor) protein."" [PMID:12642621]"
GO:0000150,recombinase activity,molecular_function,"""Catalysis of the identification and base-pairing of homologous sequences between single-stranded DNA and double-stranded DNA."" [GOC:elh]"
GO:0000155,phosphorelay sensor kinase activity,molecular_function,"""Catalysis of the phosphorylation of a histidine residue in response to detection of an extracellular signal such as a chemical ligand or change in environment, to initiate a change in cell state or activity. The two-component sensor is a histidine kinase that autophosphorylates a histidine residue in its active site. The phosphate is then transferred to an aspartate residue in a downstream response regulator, to trigger a response."" [GOC:bf, GOC:mcc, PMID:10966457, PMID:20223701, PMID:9191038]"
GO:0000156,phosphorelay response regulator activity,molecular_function,"""Responds to a phosphorelay sensor to initiate a change in cell state or activity. The activity of the response regulator is regulated by transfer of a phosphate from a histidine residue in the sensor, to an aspartate residue in the response regulator. Many but not all response regulators act as transcriptional regulators to elicit a response."" [GOC:bf, PMID:10966457, PMID:11842140]"
GO:0000166,nucleotide binding,molecular_function,"""Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."" [GOC:mah, ISBN:0198547684]"
GO:0000170,sphingosine hydroxylase activity,molecular_function,"""Catalysis of the hydroxylation of sphingolipid long chain bases."" [PMID:9556590]"
GO:0000171,ribonuclease MRP activity,molecular_function,"""Catalysis of the site-specific cleavage of RNA by a catalytic RNA-mediated mechanism; substrates include the A3 site in the ITS1 of pre-rRNA."" [PMID:17881380]"
GO:0000175,3'-5'-exoribonuclease activity,molecular_function,"""Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of an RNA molecule."" [GOC:mah, ISBN:0198547684]"
GO:0000179,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",molecular_function,"""Catalysis of the dimethylation two adjacent A residues in the loop closing the 3'-terminal stem of the 18S rRNA, using S-adenosyl-L-methionine as a methyl donor."" [ISBN:1555811337, PMID:10690410]"
GO:0000182,rDNA binding,molecular_function,"""Interacting selectively and non-covalently with DNA sequences encoding ribosomal RNA."" [GOC:mah]"
GO:0000210,NAD+ diphosphatase activity,molecular_function,"""Catalysis of the reaction: NAD+ + H2O = AMP + NMN."" [EC:3.6.1.22]"
GO:0000211,protein degradation tagging activity,molecular_function,"""OBSOLETE. Covalent addition of polyubiquitin to another protein, targeting the tagged protein for destruction."" [GOC:cl, ISBN:0815316194]"
GO:0000213,tRNA-intron endonuclease activity,molecular_function,"""Catalysis of the endonucleolytic cleavage of pre-tRNA, producing 5'-hydroxyl and 2',3'-cyclic phosphate termini, and specifically removing the intron."" [EC:3.1.27.9]"
GO:0000215,tRNA 2'-phosphotransferase activity,molecular_function,"""Catalysis of the reaction: 2'-phospho-[ligated tRNA] + NAD+ = mature tRNA + ADP ribose 1'',2''-phosphate + nicotinamide + H2O. This reaction is the transfer of the splice junction 2-phosphate from ligated tRNA to NAD+ to produce ADP-ribose 1'-2' cyclic phosphate."" [EC:2.7.1.160, PMID:9148937]"
GO:0000217,DNA secondary structure binding,molecular_function,"""Interacting selectively and non-covalently with DNA containing secondary structure elements such as four-way junctions, bubbles, loops, Y-form DNA, or double-strand/single-strand junctions."" [GOC:krc]"
GO:0000224,peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity,molecular_function,"""Catalysis of the reaction: 4-N-(N-acetyl-D-glucosaminyl)-protein + H2O = N-acetyl-beta-D-glucosaminylamine + peptide L-aspartate. This reaction is the hydrolysis of an N4-(acetyl-beta-D-glucosaminyl)asparagine residue in which the N-acetyl-D-glucosamine residue may be further glycosylated, to yield a (substituted) N-acetyl-beta-D-glucosaminylamine and the peptide containing an aspartic residue."" [EC:3.5.1.52]"
GO:0000225,N-acetylglucosaminylphosphatidylinositol deacetylase activity,molecular_function,"""Catalysis of the reaction: N-acetyl-D-glucosaminylphosphatidylinositol + H2O = D-glucosaminylphosphatidylinositol + acetate. This reaction is the second step of the biosynthesis of glycosylphosphatidylinositol (GPI), used to anchor various eukaryotic proteins to the cell-surface membrane."" [EC:3.5.1.89]"
GO:0000227,oxaloacetate secondary active transmembrane transporter activity,molecular_function,"""Catalysis of the transfer of oxaloacetate from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy. Chemiosmotic sources of energy include uniport, symport or antiport."" [GOC:mtg_transport]"
GO:0000234,phosphoethanolamine N-methyltransferase activity,molecular_function,"""Catalysis of the reaction: S-adenosyl-L-methionine + ethanolamine phosphate = S-adenosyl-L-homocysteine + N-methylethanolamine phosphate."" [EC:2.1.1.103]"
GO:0000246,delta24(24-1) sterol reductase activity,molecular_function,"""Catalysis of the reaction: ergosterol + NADP(+) = ergosta-5,7,22,24(24(1))-tetraen-3beta-ol + H(+) + NADPH."" [EC:1.3.1.71, RHEA:18504]"
GO:0000247,C-8 sterol isomerase activity,molecular_function,"""Catalysis of the reaction which results in unsaturation at C-7 in the B ring of sterols."" [MetaCyc:RXN3O-203, PMID:8988026]"
GO:0000248,C-5 sterol desaturase activity,molecular_function,"""Catalysis of the reaction: 5,7,24(28)-ergostatrienol + O2 + NADPH = 5,7,22,24(28)-ergostatetraenol + 2 H2O + NADP+."" [MetaCyc:RXN3O-227]"
